"","Tank","Fish","Sex","Eggs","Time.For.Assay.minutes","Round","Assay","Test.animal.origin","Relative.size.counterpart","Rater","Date","Eggs.prior","Age.eggs.prior","Nips","Pec.fans","Tail.Fans","Entrances","Time","Latency","Flee","Tail.strike","Bite","Display","Quiver","Chase.Charge","Sum.Behaviors","Sum.Submissive","Parenting.per,minute","Aggressive.per.minute","Submissive.per.minute","Eggs.after","Eggs.proportion.after","Age.eggs.after","Days.prev.spawn","Days.next.spawn","Days.nearest.spawn","Parenting.per.time"
"27","A21","A21F","F","Surrogate",5,"1","Parenting","C24",NA,"GG",2023-08-08,"647",2,4,5,0,29,12.9,NA,NA,NA,NA,NA,NA,NA,9,0,NA,1.8,0,281,"43.431221020092735",8,1,-26,NA,0.697674418604651
"28","A21","A21M","M","Surrogate",5,"1","Parenting","C24",NA,"GG",2023-08-08,"647",2,29,63,6,16,161,NA,NA,NA,NA,NA,NA,NA,98,0,NA,19.6,0,281,"43.431221020092735",8,1,-26,NA,0.608695652173913
"29","A21","A21F","F","Surrogate",10,"1","Crab","D3",NA,"GG",2023-08-09,NA,NA,NA,NA,NA,NA,NA,8.809,0,145,4,0,0,0,149,0,NA,14.9,0,NA,NA,NA,2,-25,NA,NA
"30","A21","A21M","M","Surrogate",10,"1","Crab","D3",NA,"GG",2023-08-09,NA,NA,NA,NA,NA,NA,NA,39.773,0,6,12,0,0,0,18,0,NA,1.8,0,NA,NA,NA,2,-25,NA,NA
"31","A21","A21F","F","Surrogate",10,"1","Damsel","D2",NA,"GG",2023-08-10,NA,NA,NA,NA,NA,NA,NA,11.077,6,8,6,29,0,140,183,6,NA,18.3,0.6,NA,NA,NA,3,-24,NA,NA
"32","A21","A21M","M","Surrogate",10,"1","Damsel","D2",NA,"GG",2023-08-10,NA,NA,NA,NA,NA,NA,NA,19.953,7,2,0,14,0,10,26,7,NA,2.6,0.7,NA,NA,NA,3,-24,NA,NA
"33","A21","A21F","F","Surrogate",2,"1","Male","A11","Similar","GG",2023-08-11,NA,NA,NA,NA,NA,NA,NA,120,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,4,-23,NA,NA
"34","A21","A21M","M","Surrogate",2,"1","Male","A11","Similar","GG",2023-08-11,NA,NA,NA,NA,NA,NA,NA,8.809,0,2,0,15,5,0,17,5,NA,8.5,2.5,NA,NA,NA,4,-23,NA,NA
"35","A21","A21F","F","Surrogate",2,"1","Female","A23","Larger","GG",2023-08-12,NA,NA,NA,NA,NA,NA,NA,47.281,2,5,14,14,1,0,33,3,NA,16.5,1.5,NA,NA,NA,5,-22,NA,NA
"36","A21","A21M","M","Surrogate",2,"1","Female","A23","Larger","GG",2023-08-12,NA,NA,NA,NA,NA,NA,NA,4.271,0,0,3,10,0,0,13,0,NA,6.5,0,NA,NA,NA,5,-22,NA,NA
"37","A21","A21F","F","Surrogate",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-13,NA,NA,NA,NA,NA,NA,NA,1.201,0,0,0,2,0,0,2,0,NA,12,0,NA,NA,NA,6,-21,NA,NA
"38","A21","A21M","M","Surrogate",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-13,NA,NA,NA,NA,NA,NA,NA,0.332999999999998,0,0,0,2,0,0,2,0,NA,12,0,NA,NA,NA,6,-21,NA,NA
"39","A21","A21F","F","Surrogate",5,"1","Rock",NA,NA,"GG",2023-08-13,NA,NA,NA,NA,NA,NA,NA,13.047,0,87,4,14,0,0,105,0,NA,21,0,NA,NA,NA,6,-21,NA,NA
"40","A21","A21M","M","Surrogate",5,"1","Rock",NA,NA,"GG",2023-08-13,NA,NA,NA,NA,NA,NA,NA,148.816,0,2,1,0,0,0,3,0,NA,0.6,0,NA,NA,NA,6,-21,NA,NA
"41","A21","A21F","F","None",10,"2","CrabLeashed","D2",NA,"GG",2023-08-19,NA,NA,NA,NA,NA,NA,NA,0,0,75,0,0,0,0,75,0,NA,7.5,0,NA,NA,NA,12,-15,NA,NA
"42","A21","A21M","M","None",10,"2","CrabLeashed","D2",NA,"GG",2023-08-19,NA,NA,NA,NA,NA,NA,NA,600,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,12,-15,NA,NA
"43","A21","A21F","F","None",10,"2","Damsel","D1",NA,"GG",2023-08-20,NA,NA,NA,NA,NA,NA,NA,1.268,3,13,0,41,0,151,205,3,NA,20.5,0.3,NA,NA,NA,13,-14,NA,NA
"44","A21","A21M","M","None",10,"2","Damsel","D1",NA,"GG",2023-08-20,NA,NA,NA,NA,NA,NA,NA,3.203,0,3,0,16,0,11,30,0,NA,3,0,NA,NA,NA,13,-14,NA,NA
"45","A21","A21F","F","None",2,"2","Male","B24","Similar","GG",2023-08-21,NA,NA,NA,NA,NA,NA,NA,3.737,0,2,8,15,0,4,29,0,NA,14.5,0,NA,NA,NA,14,-13,NA,NA
"46","A21","A21M","M","None",2,"2","Male","B24","Similar","GG",2023-08-21,NA,NA,NA,NA,NA,NA,NA,3.937,0,8,2,17,0,0,27,0,NA,13.5,0,NA,NA,NA,14,-13,NA,NA
"47","A21","A21F","F","None",2,"2","Female","B24","Similar","GG",2023-08-22,NA,NA,NA,NA,NA,NA,NA,2.236,0,12,3,8,0,5,28,0,NA,14,0,NA,NA,NA,15,-12,NA,NA
"48","A21","A21M","M","None",2,"2","Female","B24","Similar","GG",2023-08-22,NA,NA,NA,NA,NA,NA,NA,4.605,0,6,1,13,0,0,20,0,NA,10,0,NA,NA,NA,15,-12,NA,NA
"49","A21","A21F","F","None",0.166666666666667,"2","Hand","Gabe",NA,"GG",2023-08-23,NA,NA,NA,NA,NA,NA,NA,1.969,0,0,0,2,0,0,2,0,NA,12,0,NA,NA,NA,16,-11,NA,NA
"50","A21","A21M","M","None",0.166666666666667,"2","Hand","Gabe",NA,"GG",2023-08-23,NA,NA,NA,NA,NA,NA,NA,0.634,0,0,0,2,0,0,2,0,NA,12,0,NA,NA,NA,16,-11,NA,NA
"51","A21","A21F","F","None",5,"2","Rock",NA,NA,"GG",2023-08-23,NA,NA,NA,NA,NA,NA,NA,22.923,0,41,0,36,0,0,77,0,NA,15.4,0,NA,NA,NA,16,-11,NA,NA
"52","A21","A21M","M","None",5,"2","Rock",NA,NA,"GG",2023-08-23,NA,NA,NA,NA,NA,NA,NA,300,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,16,-11,NA,NA
"53","T18","T18F","F","Own",5,"1","Parenting","T18",NA,"GG",2023-08-19,"856",2,110,80,0,18,142,NA,NA,NA,NA,NA,NA,NA,190,0,NA,38,0,136,"15.887850467289718",8,1,-21,NA,1.33802816901408
"54","T18","T18M","M","Own",5,"1","Parenting","T18",NA,"GG",2023-08-19,"856",2,17,34,0,23,101,NA,NA,NA,NA,NA,NA,NA,51,0,NA,10.2,0,136,"15.887850467289718",8,1,-21,NA,0.504950495049505
"55","T18","T18F","F","Own",10,"1","CrabLeashed","D1",NA,"GG",2023-08-20,NA,NA,NA,NA,NA,NA,NA,23.056,0,36,0,0,0,0,36,0,NA,3.6,0,NA,NA,NA,2,-20,NA,NA
"56","T18","T18M","M","Own",10,"1","CrabLeashed","D1",NA,"GG",2023-08-20,NA,NA,NA,NA,NA,NA,NA,163.597,0,36,0,0,0,0,36,0,NA,3.6,0,NA,NA,NA,2,-20,NA,NA
"57","T18","T18F","F","Own",10,"1","Damsel",NA,NA,"GG",2023-08-21,NA,NA,NA,NA,NA,NA,NA,1.869,2,8,0,30,0,7,45,2,NA,4.5,0.2,NA,NA,NA,3,-19,NA,NA
"58","T18","T18M","M","Own",10,"1","Damsel",NA,NA,"GG",2023-08-21,NA,NA,NA,NA,NA,NA,NA,27.327,2,0,0,3,0,2,5,2,NA,0.5,0.2,NA,NA,NA,3,-19,NA,NA
"59","T18","T18F","F","Own",2,"1","Male","T2","Smaller","GG",2023-08-22,NA,NA,NA,NA,NA,NA,NA,14.515,0,0,0,1,0,2,3,0,NA,1.5,0,NA,NA,NA,4,-18,NA,NA
"60","T18","T18M","M","Own",2,"1","Male","T2","Smaller","GG",2023-08-22,NA,NA,NA,NA,NA,NA,NA,10.611,0,0,0,16,2,0,16,2,NA,8,1,NA,NA,NA,4,-18,NA,NA
"61","T18","T18F","F","Own",2,"1","Female","T4","Similar","GG",2023-08-23,NA,NA,NA,NA,NA,NA,NA,15.716,0,12,6,0,0,2,20,0,NA,10,0,NA,NA,NA,5,-17,NA,NA
"62","T18","T18M","M","Own",2,"1","Female","T4","Similar","GG",2023-08-23,NA,NA,NA,NA,NA,NA,NA,4.205,1,1,2,27,0,0,30,1,NA,15,0.5,NA,NA,NA,5,-17,NA,NA
"63","T18","T18F","F","Own",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-25,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,0,0,4,0,NA,24,0,NA,NA,NA,7,-15,NA,NA
"64","T18","T18M","M","Own",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-25,NA,NA,NA,NA,NA,NA,NA,9.7,0,0,0,1,0,0,1,0,NA,6,0,NA,NA,NA,7,-15,NA,NA
"65","T18","T18F","F","Own",5,"1","Rock",NA,NA,"GG",2023-08-25,NA,NA,NA,NA,NA,NA,NA,30.731,0,48,23,2,0,0,73,0,NA,14.6,0,NA,NA,NA,7,-15,NA,NA
"66","T18","T18M","M","Own",5,"1","Rock",NA,NA,"GG",2023-08-25,NA,NA,NA,NA,NA,NA,NA,48.949,0,19,0,0,0,0,19,0,NA,3.8,0,NA,NA,NA,7,-15,NA,NA
"67","C11","C11F","F","Own",5,"1","Parenting","C11",NA,"GG",2023-08-26,"1165",2,4,3,0,22,133,NA,NA,NA,NA,NA,NA,NA,7,0,NA,1.4,0,902,"77.424892703862653",7,1,-18,NA,0.0526315789473684
"68","C11","C11M","M","Own",5,"1","Parenting","C11",NA,"GG",2023-08-26,"1165",2,33,260,4,9,258,NA,NA,NA,NA,NA,NA,NA,297,0,NA,59.4,0,902,"77.424892703862653",7,1,-18,NA,1.15116279069767
"69","C11","C11F","F","Own",10,"1","CrabLeashed","D1",NA,"GG",2023-08-27,NA,NA,NA,NA,NA,NA,NA,65.432,0,28,0,0,0,0,28,0,NA,2.8,0,NA,NA,NA,2,-17,NA,NA
"70","C11","C11M","M","Own",10,"1","CrabLeashed","D1",NA,"GG",2023-08-27,NA,NA,NA,NA,NA,NA,NA,600,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,2,-17,NA,NA
"71","C11","C11F","F","Own",10,"1","Damsel","D1",NA,"GG",2023-08-28,NA,NA,NA,NA,NA,NA,NA,5.873,1,32,1,10,0,67,110,1,NA,11,0.1,NA,NA,NA,3,-16,NA,NA
"72","C11","C11M","M","Own",10,"1","Damsel","D1",NA,"GG",2023-08-28,NA,NA,NA,NA,NA,NA,NA,37.304,1,0,0,1,0,0,1,1,NA,0.1,0.1,NA,NA,NA,3,-16,NA,NA
"73","C11","C11F","F","Own",2,"1","Male","C24","Larger","GG",2023-08-29,NA,NA,NA,NA,NA,NA,NA,16.95,0,0,0,1,0,0,1,0,NA,0.5,0,NA,NA,NA,4,-15,NA,NA
"74","C11","C11M","M","Own",2,"1","Male","C24","Larger","GG",2023-08-29,NA,NA,NA,NA,NA,NA,NA,1.568,0,0,2,14,0,0,16,0,NA,8,0,NA,NA,NA,4,-15,NA,NA
"75","C11","C11F","F","Own",2,"1","Female","C24","Smaller","GG",2023-08-30,NA,NA,NA,NA,NA,NA,NA,8.509,0,0,0,2,0,0,2,0,NA,1,0,NA,NA,NA,5,-14,NA,NA
"76","C11","C11M","M","Own",2,"1","Female","C24","Smaller","GG",2023-08-30,NA,NA,NA,NA,NA,NA,NA,5.172,0,0,0,10,0,0,10,0,NA,5,0,NA,NA,NA,5,-14,NA,NA
"77","C11","C11F","F","Own",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,0.7,0,0,2,8,0,0,10,0,NA,60,0,NA,NA,NA,6,-13,NA,NA
"78","C11","C11M","M","Own",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,6,-13,NA,NA
"79","C11","C11F","F","Own",5,"1","Rock",NA,NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,23.89,0,44,20,32,0,0,96,0,NA,19.2,0,NA,NA,NA,6,-13,NA,NA
"80","C11","C11M","M","Own",5,"1","Rock",NA,NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,13.68,0,44,7,16,0,0,67,0,NA,13.4,0,NA,NA,NA,6,-13,NA,NA
